Consignee_Contact_Name,Domestic_Barcode,Country_Code,DespatchDate,Batch_No
----------------------------------------------------------------------------------------------------,,,,
,,,,
112-9730629-3252264,LX878310214IE,US,20201218,20201218US

113-4436647-4417029,LX878310320IE,US,20201218,20201218US
113-3217414-9604267,LX878310316IE,US,20201218,20201218US
113-3970861-7597054,LX878310302IE,US,20201218,20201218US
112-0308256-2960278,LX878310293IE,US,20201218,20201218US
114-9591814-4089020,LX878310280IE,US,20201218,20201218US
113-3789722-2571436,LX878310276IE,US,20201218,20201218US
114-4595742-4521820,LX878310262IE,US,20201218,20201218US
113-0271194-8545068,LX878310259IE,US,20201218,20201218US
113-5605122-2177035,LX878310245IE,US,20201218,20201218US
112-5615257-3077014,LX878310355IE,US,20201218,20201218US
114-1241632-5469869,LX878310228IE,US,20201218,20201218US
114-7231214-0813010,LX878310364IE,US,20201218,20201218US
112-6132969-7865000,LX878310205IE,US,20201218,20201218US
112-3840235-8828218,LX878310191IE,US,20201218,20201218US
113-0269251-1168261,LX878310188IE,US,20201218,20201218US
112-0790568-2869041,LX878310174IE,US,20201218,20201218US
112-1274229-0441065,LX878310165IE,US,20201218,20201218US
112-5573935-6005036,LX878310157IE,US,20201218,20201218US
113-1589340-3081860,LX878310143IE,US,20201218,20201218US
206-3302747-6668325,LX878310130IE,GB,20201218,20201218UK
306-4988564-9819544,LX878310126IE,DE,20201218,20201218UK
406-2217032-5308325,LX878310112IE,FR,20201218,20201218UK
111-6860228-8078650,LX878310231IE,US,20201218,20201218US
111-0219122-7375424,LX878310421IE,US,20201218,20201218US
111-4055141-5686665,LX878310625IE,US,20201218,20201218US
113-2430594-3663456,LX878310611IE,US,20201218,20201218US
111-5332308-1404204,LX878310608IE,US,20201218,20201218US
112-2738440-1293064,LX878310599IE,US,20201218,20201218US
113-4791253-5729805,LX878310585IE,US,20201218,20201218US
114-1891032-4312202,LX878310571IE,US,20201218,20201218US
111-1771341-4758617,LX878310568IE,US,20201218,20201218US
113-6267036-6376248,LX878310554IE,US,20201218,20201218US
114-4985676-2937825,LX878310545IE,US,20201218,20201218US
114-8048192-4056247,LX878310537IE,US,20201218,20201218US
111-1202819-5350667,LX878310523IE,US,20201218,20201218US
112-5615257-3077014,LX878310347IE,US,20201218,20201218US
114-4073741-9440221,LX878310435IE,US,20201218,20201218US
111-6533873-6241831,LX878310639IE,US,20201218,20201218US
111-5233439-5738633,LX878310418IE,US,20201218,20201218US
114-7683533-6886659,LX878310404IE,US,20201218,20201218US
114-7683533-6886659,LX878310395IE,US,20201218,20201218US
114-7683533-6886659,LX878310381IE,US,20201218,20201218US
114-7231214-0813010,LX878310378IE,US,20201218,20201218US
111-3729208-1626651,LX878310506IE,US,20201218,20201218US
112-0312812-9190606,LX878310497IE,US,20201218,20201218US
111-1960328-7207401,LX878310483IE,US,20201218,20201218US
112-0581192-8882652,LX878310470IE,US,20201218,20201218US
114-5772312-1512268,LX878310466IE,US,20201218,20201218US
111-5068802-8465007,LX878310452IE,US,20201218,20201218US
111-2488532-6594642,LX878310449IE,US,20201218,20201218US
111-1202819-5350667,LX878310510IE,US,20201218,20201218US
